Longitude,Latitude,Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Rep,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,ID,LocID
-73.40783333,43.95166667,411,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,2.13,ug/l,1,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,411,9
-73.40783333,43.95166667,452,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,12,RFU,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,452,9
-73.41283333,44.126,215,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Chlorophyll,0.49,ug/l,1,Beagle,2014,7,23,NA,NA,NA,FALSE,FALSE,,215,4
-73.41283333,44.126,213,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,2,Beagle,2014,7,16,NA,NA,NA,FALSE,FALSE,,213,4
-73.41283333,44.126,821,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Chlorophyll,0.74,ug/l,3,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,821,4
-73.41283333,44.126,212,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,1,Beagle,2014,7,16,NA,NA,NA,FALSE,FALSE,,212,4
-73.41283333,44.126,211,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.58,ug/l,3,Beagle,2014,7,16,NA,NA,NA,FALSE,FALSE,,211,4
-73.41283333,44.126,825,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Phycocyanin,10,ug/l,1,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,825,4
-73.41283333,44.126,820,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Chlorophyll,0.79,ug/l,2,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,820,4
-73.41283333,44.126,823,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.79,ug/l,2,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,823,4
-73.41283333,44.126,335,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,4,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,3.5,ug/l,2,Beagle,2014,8,4,NA,NA,NA,FALSE,FALSE,,335,4
-73.41283333,44.126,735,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,TRUE,Phycocyanin,50,RFU,2,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,735,4
-73.41283333,44.126,822,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.68,ug/l,1,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,822,4
-73.41283333,44.126,819,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Chlorophyll,0.7,ug/l,1,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,819,4
-73.41283333,44.126,210,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.79,ug/l,2,Beagle,2014,7,16,NA,NA,NA,FALSE,FALSE,,210,4
-73.41283333,44.126,334,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,4,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,1,ug/l,1,Beagle,2014,8,4,NA,NA,NA,FALSE,FALSE,,334,4
-73.41283333,44.126,737,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,TRUE,Phycocyanin,45,RFU,3,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,737,4
-73.41283333,44.126,52,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,6,26,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Chlorophyll,0.56,ug/l,2,Beagle,2014,6,27,NA,NA,NA,FALSE,FALSE,,52,4
-73.41283333,44.126,214,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,3,Beagle,2014,7,16,NA,NA,NA,FALSE,FALSE,,214,4
-73.41283333,44.126,734,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,TRUE,Phycocyanin,12,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,734,4
-73.41283333,44.126,824,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.76,ug/l,3,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,824,4
-73.41283333,44.126,738,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,TRUE,Phycocyanin,12,RFU,3,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,738,4
-73.41283333,44.126,332,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,4,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.01,ug/l,2,Beagle,2014,8,4,NA,NA,NA,FALSE,FALSE,,332,4
-73.41283333,44.126,333,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,4,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,0.98,ug/l,3,Beagle,2014,8,4,NA,NA,NA,FALSE,FALSE,,333,4
-73.41283333,44.126,827,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Phycocyanin,10,ug/l,3,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,827,4
-73.41283333,44.126,736,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,TRUE,Phycocyanin,12,RFU,2,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,736,4
-73.41283333,44.126,55,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,6,26,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,6,ug/l,2,Beagle,2014,6,27,NA,NA,NA,FALSE,FALSE,,55,4
-73.41283333,44.126,826,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,9.6,NA,NA,FALSE,FALSE,Phycocyanin,10,ug/l,2,Beagle,2014,8,25,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; calibration messed up,826,4
-73.41283333,44.126,669,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,25,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,60,RFU,1,Beagle,2014,10,9,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,669,4
-73.41283333,44.126,336,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,8,4,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,1.5,ug/l,3,Beagle,2014,8,4,NA,NA,NA,FALSE,FALSE,,336,4
-73.41283333,44.126,220,Angela Shambaugh,VTDEC,7,NA,VT,NA,2014,7,16,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Phycocyanin,0.1,ug/l,3,Beagle,2014,7,23,NA,NA,NA,FALSE,FALSE,,220,4
